,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Autoclick.exe,0.8604,0.5765,0.3607,0.9976,0.461,0.4117,0.2059,0.3646,0.3276,0.1029,0.1508,0.2537,1.0,0.1299,0.1029,0.2059
1,MEmu.exe,0.94,0.7171,0.9583,0.9448,1.0,0.7154,0.7611,0.7156,0.9473,0.8732,0.8181,0.92,0.8942,0.9555,0.8675,0.8955
2,MEmuConsole.exe,0.9414,0.7412,0.9589,0.9546,1.0,0.772,0.7814,0.7763,0.8898,0.8814,0.8746,0.9217,0.9098,0.9645,0.8775,0.9164
3,Overwatch Launcher.exe,0.9836,0.8537,0.9753,0.9024,0.9093,0.8669,0.8625,0.8972,0.7843,0.9114,0.8333,0.9667,0.8306,0.9014,0.9406,1.0
4,test.html,1.0,0.4209,0.0,0.1982,0.3963,0.4657,0.0,0.0,0.1982,0.0,0.2301,0.1982,0.0,0.0,0.2301,0.0
5,test.hwp,1.0,0.5897,0.5257,0.6979,0.5363,0.3325,0.3611,0.5464,0.445,0.4077,0.445,0.476,0.6979,0.2986,0.5736,0.5464
6,test.png,0.8771,0.9786,0.8127,0.8127,0.9315,0.9315,1.0,0.6324,0.7755,0.7755,0.9315,0.9315,0.9053,0.9315,0.6868,0.8127
7,test.scr,0.948,0.9537,0.8027,0.7994,0.7724,0.6479,0.9851,0.6172,0.8818,0.6916,0.8455,0.8017,0.8942,0.7435,0.641,1.0
8,test2.hwp,0.9688,0.9688,0.5405,0.9688,1.0,0.6275,0.4283,0.4283,0.4283,0.4283,0.4283,0.4283,0.8566,0.4283,0.4283,0.9688
9,test3.hwp,0.965,1.0,0.4421,1.0,1.0,0.4421,0.4421,0.4421,0.4421,0.4421,0.5579,0.4421,0.8842,0.4421,0.4421,1.0
